tourney_id,tourney_name,surface,draw_size,tourney_level,indoor,tourney_date,match_num,winner_id,winner_seed,winner_entry,winner_name,winner_hand,winner_ht,winner_ioc,winner_age,winner_rank,winner_rank_points,loser_id,loser_seed,loser_entry,loser_name,loser_hand,loser_ht,loser_ioc,loser_age,loser_rank,loser_rank_points,score,best_of,round,minutes,w_ace,w_df,w_svpt,w_1stIn,w_1stWon,w_2ndWon,w_SvGms,w_bpSaved,w_bpFaced,l_ace,l_df,l_svpt,l_1stIn,l_1stWon,l_2ndWon,l_SvGms,l_bpSaved,l_bpFaced
2026-9900,United Cup,Hard,18,A,O,20260104,9,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,25.407,5.0,4190.0,Z371,,,Zhizhen Zhang,R,193.0,CHN,29.218,410.0,115.0,6-4 6-4,3,RR,87.0,6.0,0.0,55.0,37.0,32.0,10.0,10.0,1.0,1.0,2.0,2.0,55.0,34.0,23.0,12.0,10.0,0.0,2.0
2026-9900,United Cup,Hard,18,A,O,20260104,10,C0E9,,,Flavio Cobolli,R,183.0,ITA,23.666,22.0,2000.0,W367,,,Stan Wawrinka,R,183.0,SUI,40.772,157.0,397.0,6-4 6-7(2) 7-6(4),3,RR,175.0,8.0,1.0,101.0,55.0,41.0,33.0,17.0,0.0,0.0,8.0,3.0,104.0,61.0,49.0,27.0,17.0,3.0,4.0
2026-336,Hong Kong,Hard,28,250,O,20260105,1,BT72,8.0,,Nuno Borges,R,185.0,POR,28.876,45.0,1120.0,D923,,,Damir Dzumhur,R,175.0,BIH,33.629,65.0,837.0,6-4 6-3,3,R32,75.0,5.0,1.0,51.0,40.0,27.0,4.0,9.0,3.0,5.0,1.0,5.0,69.0,41.0,24.0,11.0,10.0,3.0,8.0
2026-336,Hong Kong,Hard,28,250,O,20260105,2,C977,,,Marin Cilic,R,198.0,CRO,37.27,70.0,765.0,ME82,,,Adrian Mannarino,L,180.0,FRA,37.52,68.0,817.0,6-3 6-2,3,R32,84.0,9.0,3.0,56.0,27.0,24.0,15.0,9.0,1.0,1.0,0.0,0.0,49.0,36.0,22.0,5.0,8.0,3.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260105,3,WB32,,,Yibing Wu,R,183.0,CHN,26.229,179.0,322.0,M0CI,,,Fabian Marozsan,R,193.0,HUN,26.245,53.0,975.0,6-4 6-2,3,R32,74.0,2.0,0.0,63.0,40.0,31.0,10.0,9.0,3.0,3.0,2.0,1.0,49.0,30.0,21.0,8.0,9.0,2.0,5.0
2026-339,Brisbane,Hard,32,250,O,20260105,3,HB64,,,Quentin Halys,R,191.0,FRA,29.194,91.0,669.0,P09Z,,,Alexei Popyrin,R,196.0,AUS,26.42,50.0,1000.0,5-7 6-3 6-4,3,R32,114.0,15.0,2.0,79.0,58.0,52.0,9.0,16.0,1.0,2.0,13.0,2.0,84.0,54.0,41.0,16.0,15.0,3.0,5.0
2026-339,Brisbane,Hard,32,250,O,20260105,4,L0BV,3.0,,Jiri Lehecka,R,185.0,CZE,24.159,19.0,2075.0,M0FH,,,Tomas Machac,R,183.0,CZE,25.229,35.0,1360.0,6-4 6-7(5) 6-2,3,R32,144.0,8.0,0.0,88.0,63.0,50.0,16.0,15.0,2.0,2.0,8.0,5.0,109.0,71.0,50.0,17.0,15.0,2.0,5.0
2026-339,Brisbane,Hard,32,250,O,20260105,5,K0AH,,,Sebastian Korda,R,196.0,USA,25.503,46.0,1090.0,VA25,,,Valentin Vacherot,R,193.0,MON,27.138,31.0,1469.0,7-6(1) 6-3,3,R32,87.0,10.0,5.0,67.0,46.0,37.0,12.0,11.0,3.0,4.0,9.0,2.0,69.0,46.0,30.0,13.0,10.0,7.0,9.0
2026-339,Brisbane,Hard,32,250,O,20260105,6,MQ75,,,Kamil Majchrzak,R,183.0,POL,29.979,59.0,861.0,AE14,,,Daniel Altmaier,R,188.0,GER,27.316,44.0,1123.0,7-6(4) 6-0,3,R32,82.0,7.0,1.0,53.0,37.0,33.0,6.0,9.0,0.0,1.0,7.0,5.0,59.0,37.0,24.0,7.0,9.0,5.0,9.0
2026-339,Brisbane,Hard,32,250,O,20260105,7,M0QI,,,Alex Michelsen,R,193.0,USA,21.363,37.0,1300.0,D994,,,James Duckworth,R,183.0,AUS,33.958,86.0,694.0,6-7(4) 7-6(2) 6-3,3,R32,146.0,19.0,2.0,109.0,76.0,60.0,19.0,17.0,6.0,6.0,10.0,7.0,99.0,55.0,45.0,25.0,16.0,2.0,3.0
2026-339,Brisbane,Hard,32,250,O,20260105,8,O522,,,Reilly Opelka,R,211.0,USA,28.356,60.0,861.0,S0IA,,,Dane Sweeny,R,170.0,AUS,24.895,183.0,315.0,6-3 7-5,3,R32,82.0,21.0,2.0,55.0,45.0,36.0,8.0,11.0,0.0,0.0,2.0,4.0,68.0,41.0,33.0,10.0,10.0,6.0,8.0
2026-339,Brisbane,Hard,32,250,O,20260105,9,MM58,1.0,,Daniil Medvedev,R,198.0,RUS,29.9,13.0,2710.0,F724,,,Marton Fucsovics,R,188.0,HUN,33.908,54.0,949.0,6-2 6-3,3,R32,69.0,4.0,2.0,42.0,28.0,22.0,6.0,8.0,2.0,4.0,0.0,2.0,57.0,35.0,19.0,7.0,9.0,4.0,10.0
2026-9900,United Cup,Hard,18,A,O,20260105,11,FB98,,,Taylor Fritz,R,196.0,USA,28.189,6.0,4085.0,MU94,,,Jaume Munar,R,183.0,ESP,28.671,33.0,1385.0,7-6(4) 3-6 7-6(6),3,RR,193.0,16.0,7.0,112.0,75.0,60.0,18.0,16.0,5.0,6.0,14.0,5.0,122.0,72.0,62.0,24.0,17.0,2.0,2.0
2026-9900,United Cup,Hard,18,A,O,20260105,12,HB71,,,Hubert Hurkacz,R,196.0,POL,28.898,83.0,710.0,Z355,,,Alexander Zverev,R,198.0,GER,28.712,3.0,5110.0,6-3 6-4,3,RR,82.0,21.0,0.0,63.0,41.0,35.0,9.0,10.0,1.0,1.0,7.0,0.0,46.0,40.0,25.0,6.0,9.0,1.0,3.0
2026-9900,United Cup,Hard,18,A,O,20260105,13,M0NI,,,Jakub Mensik,R,196.0,CZE,20.345,18.0,2130.0,RH16,,,Casper Ruud,R,183.0,NOR,27.039,12.0,2825.0,7-5 7-6(6),3,RR,128.0,16.0,3.0,83.0,51.0,40.0,13.0,12.0,5.0,7.0,1.0,1.0,79.0,45.0,25.0,22.0,12.0,3.0,6.0
2026-9900,United Cup,Hard,18,A,O,20260105,14,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,27.4,36.0,1380.0,HD68,,,Billy Harris,R,193.0,GBR,30.946,128.0,482.0,4-6 6-1 7-6(4),3,RR,136.0,5.0,2.0,84.0,54.0,46.0,18.0,15.0,1.0,2.0,4.0,3.0,83.0,51.0,40.0,17.0,14.0,4.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260106,4,MP01,,,Michael Mmoh,R,188.0,USA,27.989,285.0,184.0,TE30,,,Alejandro Tabilo,L,188.0,CHI,28.597,81.0,717.0,7-5 6-4,3,R32,111.0,13.0,3.0,76.0,49.0,39.0,13.0,11.0,6.0,6.0,6.0,1.0,65.0,39.0,28.0,15.0,11.0,4.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260106,5,SU87,5.0,,Lorenzo Sonego,R,191.0,ITA,30.658,39.0,1240.0,S0UV,,,Rei Sakamoto,R,193.0,JPN,19.537,200.0,292.0,6-2 7-6(4),3,R32,105.0,4.0,0.0,63.0,39.0,30.0,15.0,10.0,1.0,2.0,1.0,2.0,78.0,43.0,25.0,20.0,10.0,3.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260106,6,D0F6,6.0,,Gabriel Diallo,R,203.0,CAN,24.285,40.0,1215.0,D0C1,,,Jesper de Jong,R,180.0,NED,25.602,71.0,763.0,6-4 7-6(7),3,R32,105.0,9.0,2.0,73.0,47.0,39.0,16.0,11.0,0.0,0.0,8.0,4.0,69.0,42.0,34.0,16.0,11.0,0.0,1.0
2026-336,Hong Kong,Hard,28,250,O,20260106,7,MP20,7.0,,Alexandre Muller,R,183.0,FRA,28.928,52.0,980.0,KI95,,,Miomir Kecmanovic,R,183.0,SRB,26.352,51.0,1000.0,7-5 6-4,3,R32,77.0,9.0,2.0,59.0,43.0,33.0,8.0,11.0,3.0,5.0,7.0,0.0,62.0,43.0,30.0,7.0,11.0,0.0,4.0
2026-336,Hong Kong,Hard,28,250,O,20260106,8,EA24,,,Tomas Martin Etcheverry,R,196.0,ARG,26.472,57.0,895.0,R0EB,,,Valentin Royer,R,188.0,FRA,24.608,56.0,924.0,6-4 7-5,3,R32,104.0,8.0,0.0,56.0,33.0,26.0,16.0,11.0,1.0,2.0,9.0,1.0,72.0,49.0,29.0,15.0,11.0,9.0,12.0
2026-336,Hong Kong,Hard,28,250,O,20260106,9,W0BH,,,Coleman Wong,R,191.0,HKG,21.585,150.0,406.0,N0BS,,,Mariano Navone,R,178.0,ARG,24.857,72.0,760.0,6-3 7-5,3,R32,101.0,4.0,2.0,72.0,37.0,27.0,18.0,10.0,6.0,8.0,3.0,3.0,74.0,47.0,31.0,8.0,11.0,6.0,11.0
2026-336,Hong Kong,Hard,28,250,O,20260106,10,S0RE,,,Juncheng Shang,L,180.0,CHN,20.925,406.0,115.0,C0DF,,,Francisco Comesana,R,178.0,ARG,25.251,66.0,829.0,6-4 6-4,3,R32,77.0,6.0,0.0,58.0,39.0,30.0,12.0,10.0,1.0,1.0,7.0,2.0,52.0,37.0,27.0,10.0,10.0,3.0,5.0
2026-336,Hong Kong,Hard,28,250,O,20260106,11,GC88,,,Marcos Giron,R,180.0,USA,32.454,64.0,845.0,DB63,,,Laslo Djere,R,188.0,SRB,30.598,95.0,652.0,6-2 6-0,3,R32,59.0,1.0,3.0,42.0,27.0,21.0,8.0,7.0,0.0,0.0,4.0,2.0,50.0,32.0,16.0,6.0,7.0,2.0,7.0
2026-336,Hong Kong,Hard,28,250,O,20260106,12,V812,,,Botic van de Zandschulp,R,191.0,NED,30.259,75.0,746.0,SL28,,,Jan-Lennard Struff,R,193.0,GER,35.702,82.0,711.0,6-3 1-6 6-1,3,R32,94.0,4.0,5.0,72.0,43.0,29.0,14.0,12.0,5.0,8.0,3.0,4.0,72.0,45.0,27.0,14.0,11.0,4.0,8.0
2026-339,Brisbane,Hard,32,250,O,20260106,10,N0AE,,,Brandon Nakashima,R,188.0,USA,24.427,33.0,1380.0,DH50,2,,Alejandro Davidovich Fokina,R,180.0,ESP,26.59,14.0,2585.0,7-6(4) 6-4,3,R32,100.0,15.0,2.0,69.0,39.0,33.0,18.0,11.0,2.0,3.0,6.0,1.0,72.0,45.0,31.0,15.0,11.0,5.0,7.0
2026-339,Brisbane,Hard,32,250,O,20260106,11,C0JP,,,Raphael Collignon,R,191.0,BEL,23.981,84.0,704.0,SU55,5,,Denis Shapovalov,L,185.0,CAN,26.73,23.0,1665.0,6-4 6-2,3,R32,76.0,2.0,0.0,48.0,35.0,29.0,8.0,9.0,0.0,0.0,3.0,3.0,65.0,35.0,20.0,16.0,9.0,9.0,12.0
2026-339,Brisbane,Hard,32,250,O,20260106,12,D875,,,Grigor Dimitrov,R,191.0,BUL,34.645,47.0,1080.0,CD85,,,Pablo Carreno Busta,R,188.0,ESP,34.489,92.0,656.0,6-3 6-2,3,R32,67.0,7.0,1.0,49.0,30.0,26.0,12.0,9.0,1.0,1.0,4.0,1.0,45.0,32.0,21.0,6.0,8.0,1.0,4.0
2026-339,Brisbane,Hard,32,250,O,20260106,13,M0GZ,,,Giovanni Mpetshi Perricard,R,203.0,FRA,22.5,67.0,825.0,PL56,4,,Tommy Paul,R,185.0,USA,28.641,20.0,2050.0,7-6(2) 3-6 7-6(6),3,R32,131.0,24.0,4.0,110.0,80.0,60.0,19.0,16.0,2.0,3.0,6.0,1.0,96.0,63.0,50.0,27.0,17.0,1.0,1.0
2026-339,Brisbane,Hard,32,250,O,20260106,14,N771,7.0,,Cameron Norrie,L,188.0,GBR,30.374,28.0,1523.0,HH26,,,Ugo Humbert,L,188.0,FRA,27.532,36.0,1355.0,1-6 7-6(6) 7-5,3,R32,155.0,10.0,4.0,104.0,65.0,43.0,18.0,16.0,2.0,7.0,13.0,4.0,101.0,55.0,39.0,23.0,15.0,7.0,10.0
2026-339,Brisbane,Hard,32,250,O,20260106,15,H0BH,,,Rinky Hijikata,R,178.0,AUS,24.868,111.0,546.0,W09E,,,Adam Walton,R,183.0,AUS,26.724,77.0,732.0,6-3 6-2,3,R32,72.0,7.0,0.0,54.0,33.0,22.0,13.0,9.0,1.0,2.0,4.0,1.0,48.0,32.0,18.0,8.0,8.0,4.0,8.0
2026-339,Brisbane,Hard,32,250,O,20260106,16,K0AZ,,,Aleksandar Kovacevic,R,183.0,USA,27.357,58.0,877.0,KE17,,,Nick Kyrgios,R,193.0,AUS,30.697,,,6-3 6-4,3,R32,66.0,10.0,3.0,47.0,26.0,25.0,15.0,10.0,0.0,0.0,5.0,0.0,46.0,29.0,23.0,10.0,9.0,0.0,2.0
2026-9900,United Cup,Hard,18,A,O,20260106,15,BU13,,,Zizou Bergs,R,185.0,BEL,26.595,42.0,1208.0,AG37,,,Felix Auger-Aliassime,R,193.0,CAN,25.413,5.0,4190.0,6-4 6-2,3,RR,88.0,4.0,0.0,50.0,30.0,22.0,16.0,9.0,5.0,5.0,8.0,5.0,62.0,38.0,28.0,6.0,9.0,7.0,10.0
2026-9900,United Cup,Hard,18,A,O,20260106,16,RC91,,,Arthur Rinderknech,R,196.0,FRA,30.459,29.0,1527.0,C0E9,,,Flavio Cobolli,R,183.0,ITA,23.671,22.0,2000.0,6-7(4) 7-6(5) 7-5,3,RR,201.0,13.0,3.0,123.0,65.0,49.0,29.0,18.0,7.0,11.0,5.0,5.0,123.0,58.0,40.0,35.0,18.0,8.0,13.0
2026-9900,United Cup,Hard,18,A,O,20260106,17,DH58,,,Alex de Minaur,R,183.0,AUS,26.886,7.0,4080.0,M0NI,,,Jakub Mensik,R,196.0,CZE,20.348,18.0,2130.0,6-4 6-1,3,RR,91.0,4.0,0.0,62.0,38.0,26.0,14.0,8.0,4.0,4.0,3.0,3.0,58.0,34.0,23.0,8.0,9.0,2.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260107,13,M0EJ,1.0,,Lorenzo Musetti,R,185.0,ITA,23.849,7.0,3990.0,EA24,,,Tomas Martin Etcheverry,R,196.0,ARG,26.475,57.0,895.0,6-7(3) 6-2 6-4,3,R16,161.0,8.0,3.0,96.0,69.0,46.0,17.0,15.0,1.0,3.0,10.0,0.0,94.0,67.0,45.0,12.0,15.0,3.0,8.0
2026-336,Hong Kong,Hard,28,250,O,20260107,14,BT72,8.0,,Nuno Borges,R,185.0,POR,28.882,45.0,1120.0,C977,,,Marin Cilic,R,198.0,CRO,37.276,70.0,765.0,7-5 6-3,3,R16,81.0,5.0,1.0,61.0,37.0,32.0,12.0,11.0,1.0,2.0,9.0,5.0,52.0,32.0,22.0,10.0,10.0,1.0,4.0
2026-336,Hong Kong,Hard,28,250,O,20260107,15,W0BH,,,Coleman Wong,R,191.0,HKG,21.588,150.0,406.0,D0F6,6,,Gabriel Diallo,R,203.0,CAN,24.287,40.0,1215.0,1-6 7-5 7-5,3,R16,149.0,10.0,3.0,107.0,63.0,42.0,21.0,15.0,11.0,15.0,9.0,3.0,108.0,75.0,50.0,15.0,16.0,7.0,11.0
2026-336,Hong Kong,Hard,28,250,O,20260107,16,RE44,3.0,,Andrey Rublev,R,188.0,RUS,28.216,16.0,2510.0,WB32,,,Yibing Wu,R,183.0,CHN,26.234,179.0,322.0,3-6 6-2 6-1,3,R16,97.0,10.0,2.0,77.0,51.0,38.0,12.0,12.0,3.0,5.0,5.0,1.0,72.0,42.0,28.0,11.0,12.0,2.0,7.0
2026-339,Brisbane,Hard,32,250,O,20260107,17,MM58,1.0,,Daniil Medvedev,R,198.0,RUS,29.906,13.0,2710.0,TD51,,,Frances Tiafoe,R,188.0,USA,27.964,30.0,1500.0,6-3 6-2,3,R16,60.0,9.0,4.0,48.0,34.0,31.0,6.0,9.0,0.0,0.0,2.0,0.0,42.0,25.0,20.0,6.0,8.0,3.0,6.0
2026-339,Brisbane,Hard,32,250,O,20260107,18,K0AH,,,Sebastian Korda,R,196.0,USA,25.509,46.0,1090.0,L0BV,3,,Jiri Lehecka,R,185.0,CZE,24.164,19.0,2075.0,6-3 1-2 RET,3,R16,46.0,6.0,1.0,28.0,16.0,16.0,8.0,6.0,0.0,0.0,6.0,0.0,41.0,27.0,21.0,5.0,6.0,3.0,4.0
2026-339,Brisbane,Hard,32,250,O,20260107,19,M0QI,,,Alex Michelsen,R,193.0,USA,21.369,37.0,1300.0,T0HA,8,,Learner Tien,L,180.0,USA,20.099,28.0,1540.0,6-4 6-2,3,R16,75.0,4.0,1.0,53.0,34.0,28.0,10.0,9.0,1.0,1.0,8.0,8.0,60.0,34.0,22.0,13.0,9.0,6.0,9.0
2026-339,Brisbane,Hard,32,250,O,20260107,20,MQ75,,,Kamil Majchrzak,R,183.0,POL,29.985,59.0,861.0,O522,,,Reilly Opelka,R,211.0,USA,28.361,60.0,861.0,6-7(2) 7-6(7) 7-6(8),3,R16,149.0,13.0,2.0,108.0,76.0,66.0,22.0,18.0,0.0,0.0,44.0,4.0,122.0,99.0,78.0,14.0,18.0,3.0,3.0
2026-9900,United Cup,Hard,18,A,O,20260107,18,TE51,,,Stefanos Tsitsipas,R,193.0,GRE,27.406,36.0,1380.0,FB98,,,Taylor Fritz,R,196.0,USA,28.194,6.0,4085.0,6-4 7-5,3,QF,81.0,5.0,2.0,63.0,44.0,35.0,11.0,11.0,2.0,2.0,6.0,0.0,53.0,32.0,26.0,13.0,11.0,1.0,3.0
2026-9900,United Cup,Hard,18,A,O,20260107,19,HB71,,,Hubert Hurkacz,R,196.0,POL,28.903,83.0,710.0,GJ37,,,Tallon Griekspoor,R,188.0,NED,29.517,26.0,1565.0,6-3 7-6(4),3,RR,82.0,21.0,0.0,55.0,41.0,37.0,11.0,11.0,0.0,0.0,4.0,0.0,59.0,39.0,26.0,13.0,10.0,0.0,1.0
2026-9900,United Cup,Hard,18,A,O,20260107,20,B0BI,,,Sebastian Baez,R,170.0,ARG,25.027,45.0,1145.0,W367,,,Stan Wawrinka,R,183.0,SUI,40.78,157.0,397.0,7-5 6-4,3,QF,98.0,3.0,1.0,73.0,57.0,41.0,9.0,11.0,5.0,5.0,11.0,2.0,66.0,36.0,29.0,14.0,11.0,2.0,4.0
2026-336,Hong Kong,Hard,28,250,O,20260108,17,GC88,,,Marcos Giron,R,180.0,USA,32.46,64.0,845.0,MP20,7,,Alexandre Muller,R,183.0,FRA,28.934,52.0,980.0,6-4 7-6(4),3,R16,96.0,3.0,1.0,68.0,47.0,32.0,12.0,11.0,1.0,4.0,3.0,2.0,76.0,47.0,28.0,12.0,11.0,5.0,9.0
2026-336,Hong Kong,Hard,28,250,O,20260108,18,S0RE,,,Juncheng Shang,L,180.0,CHN,20.931,406.0,115.0,SU87,5,,Lorenzo Sonego,R,191.0,ITA,30.664,39.0,1240.0,6-3 6-4,3,R16,82.0,7.0,3.0,70.0,49.0,38.0,11.0,10.0,5.0,5.0,5.0,2.0,44.0,33.0,24.0,7.0,9.0,1.0,3.0
2026-336,Hong Kong,Hard,28,250,O,20260108,19,BK92,2.0,,Alexander Bublik,R,196.0,KAZ,28.561,11.0,2845.0,V812,,,Botic Van De Zandschulp,,,,,,,6-3 6-3,3,R16,70.0,12.0,4.0,53.0,38.0,33.0,5.0,9.0,2.0,2.0,8.0,6.0,57.0,30.0,23.0,9.0,9.0,1.0,4.0
2026-336,Hong Kong,Hard,28,250,O,20260108,20,MP01,,,Michael Mmoh,R,188.0,USA,27.995,285.0,184.0,KE29,4,,Karen Khachanov,R,198.0,RUS,29.634,17.0,2320.0,7-6(2) 7-6(4),3,R16,122.0,11.0,2.0,86.0,59.0,47.0,15.0,12.0,4.0,5.0,12.0,1.0,77.0,51.0,42.0,12.0,12.0,2.0,3.0
2026-339,Brisbane,Hard,32,250,O,20260108,21,K0AZ,,,Aleksandar Kovacevic,R,183.0,USA,27.362,58.0,877.0,N771,7,,Cameron Norrie,L,188.0,GBR,30.379,28.0,1523.0,7-6(4) 4-6 6-4,3,R16,148.0,21.0,4.0,112.0,62.0,46.0,30.0,16.0,3.0,4.0,11.0,4.0,93.0,59.0,51.0,16.0,16.0,1.0,2.0
2026-339,Brisbane,Hard,32,250,O,20260108,22,N0AE,,,Brandon Nakashima,R,188.0,USA,24.433,33.0,1380.0,HB64,,,Quentin Halys,R,191.0,FRA,29.202,91.0,669.0,6-2 6-4,3,R16,76.0,12.0,0.0,60.0,44.0,32.0,9.0,9.0,2.0,2.0,6.0,4.0,56.0,35.0,24.0,9.0,9.0,6.0,9.0
2026-339,Brisbane,Hard,32,250,O,20260108,23,M0GZ,,,Giovanni Mpetshi Perricard,R,203.0,FRA,22.505,67.0,825.0,H0BH,,,Rinky Hijikata,R,178.0,AUS,24.873,111.0,546.0,4-6 7-6(5) 7-6(4),3,R16,133.0,29.0,2.0,102.0,75.0,61.0,18.0,17.0,2.0,3.0,5.0,2.0,111.0,80.0,61.0,21.0,17.0,4.0,4.0
2026-339,Brisbane,Hard,32,250,O,20260108,24,C0JP,,,Raphael Collignon,R,191.0,BEL,23.986,84.0,704.0,D875,,,Grigor Dimitrov,R,191.0,BUL,34.65,47.0,1080.0,7-6(1) 6-3,3,R16,108.0,10.0,2.0,66.0,44.0,36.0,14.0,11.0,3.0,3.0,11.0,2.0,81.0,40.0,31.0,17.0,10.0,6.0,7.0
2026-9900,United Cup,Hard,18,A,O,20260108,21,BU13,7.0,,Zizou Bergs,R,185.0,BEL,26.601,42.0,1208.0,M0NI,11,,Jakub Mensik,R,196.0,CZE,20.353,18.0,2130.0,6-2 7-6(4),3,QF,100.0,7.0,2.0,79.0,43.0,31.0,20.0,10.0,3.0,5.0,6.0,5.0,59.0,33.0,22.0,13.0,10.0,3.0,7.0
2026-336,Hong Kong,Hard,28,250,O,20260109,21,M0EJ,1.0,,Lorenzo Musetti,R,185.0,ITA,23.855,7.0,3990.0,W0BH,,,Coleman Wong,R,191.0,HKG,21.593,150.0,406.0,6-4 6-4,3,QF,75.0,2.0,2.0,52.0,31.0,21.0,17.0,10.0,0.0,1.0,6.0,2.0,57.0,43.0,31.0,4.0,10.0,3.0,6.0
2026-336,Hong Kong,Hard,28,250,O,20260109,22,RE44,3.0,,Andrey Rublev,R,188.0,RUS,28.222,16.0,2510.0,BT72,8,,Nuno Borges,R,185.0,POR,28.887,45.0,1120.0,6-3 6-4,3,QF,73.0,7.0,1.0,50.0,38.0,34.0,7.0,10.0,1.0,1.0,2.0,0.0,69.0,47.0,33.0,7.0,9.0,6.0,8.0
2026-336,Hong Kong,Hard,28,250,O,20260109,23,GC88,,,Marcos Giron,R,180.0,USA,32.463,64.0,845.0,MP01,,,Michael Mmoh,R,188.0,USA,27.997,285.0,184.0,6-3 1-0 RET,3,QF,49.0,3.0,0.0,40.0,31.0,22.0,4.0,5.0,6.0,7.0,0.0,2.0,29.0,18.0,11.0,3.0,5.0,2.0,5.0
